anio,monto_usd
1824,4.86
1864,2.29
1865,2.19
1866,5.8
1867,13.94
1868,23.07
1869,22.46
1870,21.84
1871,49.86
1872,48.33
1873,46.8
1874,45.18
1875,41.9
1876,40.01
1877,38.07
1878,36.07
1879,34.01
1880,31.88
1881,53.98
1882,55.99
1883,77.79
1884,88.92
1885,50.14
1886,50.94
1887,64.66
1888,57.89
1889,58.47
1890,49.28
1891,76.82
1892,123.73
1893,128.88
1894,117.31
1895,127.0
1896,160.57
1897,175.78
1898,268.9
1899,335.81
1900,377.05
1901,374.52
1902,368.99
1903,363.59
1904,359.0
1905,318.44
1906,314.57
1907,301.95
1908,304.75
1909,301.63
1910,294.6
1911,291.5
1912,286.23
1913,296.8
1914,300.46
1915,293.95
1916,290.57
1917,293.92
1918,286.96
1919,271.71
1920,234.84
1921,178.4
1922,193.09
1923,185.64
1924,235.21
1925,335.08
1926,359.95
1927,467.36
1928,471.27
1929,448.06
1930,377.94
1931,329.46
1932,272.08
1933,410.09
1934,328.97
1935,327.8
1936,340.0
1937,280.03
1938,253.49
1939,266.35
1940,254.97
1941,253.66
1942,239.01
1943,218.6
1944,130.52
1945,119.58
1946,26.67
1947,21.5
1948,9.13
1949,4.4
1950,2.41
1951,1.09
1952,0.53
1953,0.0
1954,0.0
1955,0.0
1956,0.0
1957,0.0
1958,0.0
1959,0.0
1960,0.0
1961,142.1
1962,2649.3
1963,2671.6
1964,2398.0
1965,2292.1
1966,2476.2
1967,1999.0
1968,1754.4
1969,1996.3
1970,2143.4
1971,2526.8
1972,3045.9
1973,3316.4
1974,3878.5
1975,4941.0
1976,6647.5
1977,8126.7
1978,9452.8
1979,9960.3
1980,14459.0
1981,20024.0
1982,24280.0
1983,31709.0
1984,35527.0
1985,40868.0
1986,44726.0
1987,51793.0
1988,53468.0
1989,58397.0
1990,55125.0
1991,52739.0
1992,50678.0
1993,53620.0
1994,61267.5
1995,67191.5
1996,74113.0
1997,74912.0
1998,83111.0
1999,84750.25
2000,84936.08
2001,87907.0
2002,91246.93
2003,105894.8
2004,115883.62
2005,154270.0
2006,165111.0
2007,176870.0
2008,179133.0
2009,182080.0
2010,181621.0
2011,197154.0
2012,216920.0
2013,223439.0
2014,239326.0
2015,240665.0
2016,275446.0
2017,320335.0
2018,332192.0
2019,323065.0
2020,335582.0
2021,363233.0
2022,396555.0
2023,403836.0
